feature,class,fbeta,precision,recall
workclass,State-gov,0.956140350877193,0.9263456090651558,0.9410071942446044
workclass,Self-emp-not-inc,0.9431009957325747,0.9157458563535912,0.9292221443587947
workclass,Private,0.9625396825396826,0.9163812210356639,0.9388934764657308
workclass,Federal-gov,0.9510869565217391,0.9433962264150944,0.9472259810554805
workclass,Local-gov,0.9714285714285714,0.9367909238249594,0.9537953795379537
workclass,?,0.9497206703910615,0.8900523560209425,0.918918918918919
workclass,Self-emp-inc,0.9581993569131833,0.9581993569131833,0.9581993569131833
workclass,Without-pay,1.0,1.0,1.0
workclass,Never-worked,1.0,1.0,1.0
education,Bachelors,0.9550204452521581,0.9464205312922107,0.9507010402532791
education,HS-grad,0.9659908436886854,0.8817910447761194,0.9219725343320848
education,11th,1.0,0.9333333333333333,0.9655172413793104
education,Masters,0.9537037037037037,0.9666319082377477,0.9601242879337132
education,9th,1.0,0.8518518518518519,0.92
education,Some-college,0.959721146398141,0.893294881038212,0.9253174010455565
education,Assoc-acdm,0.968,0.9132075471698113,0.9398058252427185
education,Assoc-voc,0.9310344827586207,0.8975069252077562,0.9139633286318758
education,7th-8th,1.0,0.725,0.8405797101449275
education,Doctorate,0.9675324675324676,0.9738562091503268,0.970684039087948
education,Prof-school,0.9743589743589743,0.9881796690307328,0.9812206572769954
education,5th-6th,1.0,0.9375,0.967741935483871
education,10th,1.0,0.7580645161290323,0.8623853211009175
education,1st-4th,1.0,0.8333333333333334,0.9090909090909091
education,Preschool,0.0,1.0,0.0
education,12th,1.0,0.9090909090909091,0.9523809523809523
marital-status,Never-married,0.9927007299270073,0.8309572301425662,0.9046563192904655
marital-status,Married-civ-spouse,0.9551850718874273,0.9332038254632397,0.9440665154950868
marital-status,Divorced,0.985781990521327,0.8984881209503239,0.9401129943502824
marital-status,Married-spouse-absent,1.0,0.9117647058823529,0.9538461538461539
marital-status,Separated,1.0,0.8333333333333334,0.9090909090909091
marital-status,Married-AF-spouse,1.0,0.7,0.8235294117647058
marital-status,Widowed,1.0,0.8235294117647058,0.9032258064516129
occupation,Adm-clerical,0.9439834024896265,0.8974358974358975,0.9201213346814964
occupation,Exec-managerial,0.9573604060913705,0.9583333333333334,0.9578466226510919
occupation,Handlers-cleaners,0.948051948051948,0.8488372093023255,0.8957055214723927
occupation,Prof-specialty,0.9603691639522258,0.9515868746637978,0.9559578492299378
occupation,Other-service,0.9915254237288136,0.8540145985401459,0.9176470588235295
occupation,Sales,0.95864262990456,0.9196337741607324,0.9387331256490135
occupation,Craft-repair,0.9733333333333334,0.8643702906350915,0.9156214367160777
occupation,Transport-moving,0.9787234042553191,0.8625,0.9169435215946844
occupation,Farming-fishing,0.9428571428571428,0.8608695652173913,0.8999999999999999
occupation,Machine-op-inspct,0.9594594594594594,0.852,0.9025423728813559
occupation,Tech-support,0.9395017793594306,0.9328621908127208,0.9361702127659574
occupation,?,0.9497206703910615,0.8900523560209425,0.918918918918919
occupation,Protective-serv,0.9757281553398058,0.95260663507109,0.9640287769784173
occupation,Armed-Forces,1.0,1.0,1.0
occupation,Priv-house-serv,1.0,1.0,1.0
relationship,Not-in-family,0.9880159786950732,0.866822429906542,0.9234598630989421
relationship,Husband,0.9565595134665508,0.9302129097668131,0.9432022616294011
relationship,Wife,0.9445178335535006,0.959731543624161,0.952063914780293
relationship,Own-child,1.0,0.746268656716418,0.8547008547008548
relationship,Unmarried,1.0,0.8669724770642202,0.9287469287469288
relationship,Other-relative,0.96875,0.8378378378378378,0.8985507246376812
race,White,0.9594574886976812,0.9244063509905859,0.9416058394160582
race,Black,0.971830985915493,0.8914728682170543,0.9299191374663073
race,Asian-Pac-Islander,0.9586466165413534,0.9239130434782609,0.9409594095940961
race,Amer-Indian-Eskimo,0.96875,0.8611111111111112,0.911764705882353
race,Other,0.9166666666666666,0.88,0.8979591836734694
sex,Male,0.9599126501325846,0.9237466226358451,0.94148244473342
sex,Female,0.9599287622439893,0.914334181509754,0.9365768896611641
native-country,United-States,0.9603128621089224,0.9245572444568401,0.9420959147424511
native-country,Cuba,0.9545454545454546,0.84,0.8936170212765958
native-country,Jamaica,1.0,0.8,0.888888888888889
native-country,India,0.8809523809523809,0.925,0.9024390243902439
native-country,?,0.971830985915493,0.9452054794520548,0.9583333333333334
native-country,Mexico,0.9655172413793104,0.8484848484848485,0.9032258064516129
native-country,South,0.875,0.875,0.875
native-country,Puerto-Rico,0.8461538461538461,0.9166666666666666,0.8799999999999999
native-country,Honduras,1.0,1.0,1.0
native-country,England,0.9629629629629629,0.8666666666666667,0.912280701754386
native-country,Canada,1.0,0.8461538461538461,0.9166666666666666
native-country,Germany,0.95,0.8636363636363636,0.9047619047619048
native-country,Iran,0.8947368421052632,0.9444444444444444,0.918918918918919
native-country,Philippines,0.9830508474576272,0.9508196721311475,0.9666666666666667
native-country,Italy,0.9583333333333334,0.92,0.9387755102040817
native-country,Poland,1.0,0.6666666666666666,0.8
native-country,Columbia,1.0,1.0,1.0
native-country,Cambodia,1.0,0.7142857142857143,0.8333333333333333
native-country,Thailand,1.0,1.0,1.0
native-country,Ecuador,1.0,1.0,1.0
native-country,Laos,0.6666666666666666,1.0,0.8
native-country,Taiwan,1.0,0.9,0.9473684210526316
native-country,Haiti,1.0,0.75,0.8571428571428571
native-country,Portugal,1.0,1.0,1.0
native-country,Dominican-Republic,0.6666666666666666,1.0,0.8
native-country,El-Salvador,1.0,0.8888888888888888,0.9411764705882353
native-country,France,1.0,0.8333333333333334,0.9090909090909091
native-country,Guatemala,1.0,1.0,1.0
native-country,China,0.95,0.95,0.9500000000000001
native-country,Japan,0.88,0.9166666666666666,0.8979591836734694
native-country,Yugoslavia,1.0,0.8333333333333334,0.9090909090909091
native-country,Peru,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country,Scotland,1.0,1.0,1.0
native-country,Trinadad&Tobago,1.0,0.5,0.6666666666666666
native-country,Greece,1.0,0.875,0.9333333333333333
native-country,Nicaragua,1.0,0.5,0.6666666666666666
native-country,Vietnam,1.0,0.8,0.888888888888889
native-country,Hong,1.0,0.8333333333333334,0.9090909090909091
native-country,Ireland,1.0,1.0,1.0
native-country,Hungary,1.0,1.0,1.0
native-country,Holand-Netherlands,1.0,1.0,1.0
